,,meanAbsdwEE,meanAbsdwIE,meanAbsdwEI,meanAbsdwII,meanSumAbsMAvgDiffdW,meanSumAbsMAvgDiffConvergentdW,meanSumAbsMAvgDiffFRMSE,meanSumAbsMAvgDiffConvergentFRMSE,meanAbsPostConvergencedwEE,meanAbsPostConvergencedwIE,meanAbsPostConvergencedwEI,meanAbsPostConvergencedwII,minMSEExc,meanMSEExc,meanConvergentMSEExc,minMSEExcUnits,meanMSEExcUnits,meanConvergentMSEExcUnits,minMSEInh,meanMSEInh,meanConvergentMSEInh,minMSEInhUnits,meanMSEInhUnits,meanConvergentMSEInhUnits
2,cross-homeo-pre-outer,0.028237265055618008,0.012426025280596763,0.2655515663232954,0.034952387311528214,0.27572906766087113,0.26727709777983444,31775.98611970962,31228.767966443476,0.02439083036528574,0.01101060274235761,0.260018508003396,0.03273429099186963,0.0036730945821854847,924.1774866681903,424.3048171902895,16.91058310376492,3563.2813715800226,3074.837293517257,0.012711457131872467,1717.82239344142,1590.6167694516585,136.4931640625,28485.024647013888,28172.672108216917
3,cross-homeo-pre-outer,0.01550167985056444,0.006336341778753304,0.21391704431283068,0.021443103661534478,0.2556429330965393,0.24991259184326675,30471.956747133943,31997.548340024183,0.010494212025432048,0.004062229996581579,0.21807641763177354,0.018765452122313068,1.6269262807178942e-06,30.95573813078092,31.248912851648715,9.884952520087655,2610.2079424679964,2737.972535254873,0.00390625,1426.9299135040671,1492.0908820843595,121.13622979388258,27840.421214894384,29234.65180465206
4,cross-homeo-pre-outer,0.013203941579137212,0.005984556661168273,0.21729590609542845,0.021637956088110446,0.24445239887484446,0.2182768035864425,31133.313519823692,36319.011341708065,0.0011615434894376568,0.0029037153732901617,0.19809859294133564,0.016243934789234228,0.01740933641975314,33.57974495761731,31.99935492582978,12.08,2730.406054985245,3138.355555093479,0.7321092045229131,1424.0137468871387,1562.1226049380189,114.5615338882283,28379.598968878094,33180.34073652411
5,cross-homeo-pre-outer,0.021506094831542696,0.009368238327086408,0.27650771718406875,0.02916339129710121,0.29772240385392,0.2947380641198701,10899.035432035022,10556.747431082651,0.012880328448963497,0.006168723425016881,0.2679939847913004,0.023041124410878834,1.6954210069436736e-06,353.3323595935738,0.9329633144103269,20.42091836734694,1075.5555049537481,735.3928812641225,0.0,510.21802310155743,138.43316907195236,118.72057074910819,10252.229274675305,9812.285371000791
6,cross-homeo-pre-outer,0.022502313574657946,0.007797281707391644,0.23870481464128585,0.027572987864744387,0.295145422612612,0.2918025852871819,10069.404581026789,10800.383736403817,0.015107802184795219,0.005473225116402421,0.24632702976060392,0.026402620751066013,0.0,2.375640859133238,0.9665878957271342,9.303738877937024,703.0482680469694,753.2565671604406,3.329958974910587e-06,137.64825317392265,134.75152830899887,94.93771626297577,9362.488307840596,10041.294582120961
7,cross-homeo-pre-outer,0.017746314872759888,0.006926740561959204,0.2530514473290273,0.027499150114579398,0.3004338770527258,0.3004056757567991,10387.389315907643,10620.870079064542,0.015600109243842962,0.006181974216101156,0.2562964416364622,0.027225404458556313,7.888609052210118e-31,1.8420014259081794,1.3271948973928664,10.302326975331663,706.201056285577,721.8214878021572,0.0002162629757785713,141.51462743060063,140.3121794977381,99.23161764705883,9673.923132696102,9891.086132491027
8,cross-homeo-pre-outer,0.018672516289691046,0.006852521004526211,0.2595568646228886,0.02859630634922239,0.28821194723564275,0.288209751588388,9386.853990740297,9387.058419641373,0.018602267057998615,0.006827449974390528,0.2593786403545222,0.028527786078296632,1.929012345677148e-06,2.5043732842774955,1.4683757651768634,17.97221471065441,675.5576404102503,674.0827577706107,6.503642039538909e-05,127.39297450990092,119.86565980388359,116.30178474851269,8716.076619010148,8705.773230146473
0,cross-homeo-pre-outer-homeo,0.07365741660441781,0.03596002675765199,0.19543865628933607,0.09061984365814252,0.1087709842125247,0.032548103075199605,59.699193262444616,26.423085458902605,0.04099450390187371,0.019696755430996804,0.11588469713078084,0.055391874153743074,7.888609052210118e-31,1.1406073760478161,0.13047068636460277,3.636681496083968,9.923360404090792,5.124940633795878,0.0,10.195448745320501,1.072524313415919,12.700090574884117,49.91254116628347,21.31070865245581
1,cross-homeo-pre-outer-homeo,0.12103125591993784,0.054635622281120726,0.3178469948976846,0.13383424860309773,0.19234105450261357,0.1028494728792158,961.2275935359828,108.94332060351726,0.09003935713184244,0.03397140324577856,0.28052767058964156,0.10330850729802878,0.0,679.8387207502703,1.4206353510591905,3.7269566838936536,714.2331939342214,17.105573722542346,0.0,169.9197007253006,10.759363812101242,13.528904043902179,364.8638575532194,91.89859329968893
2,cross-homeo-pre-outer-homeo,0.26707797928388854,0.1190085718016641,0.668193698637789,0.2853284947470476,0.3470242097590754,0.3272100986510736,13117.042810452445,12749.848495137714,0.26347075377918777,0.117491565693198,0.6668255798366107,0.2843395914649284,2.0812243593150652e-07,4968.563299775736,4096.30649618049,4.714163237311386,5000.388387756544,4129.934100802377,3.1554436208840472e-30,6889.211287037519,7186.71887808961,24.89834068473009,8327.707935513989,8601.962297121932
3,cross-homeo-pre-outer-homeo,0.0344773543930439,0.01713381956551568,0.07857979070480632,0.03991758515999075,0.06400377152325694,0.019742224867153456,38.88877626150577,25.72459453515077,0.02313176979001663,0.011775939662361368,0.06506149016303278,0.03288464912742906,7.888609052210118e-31,1.484740174304603,0.03661666918868467,3.5540985135063123,6.378455255639463,4.959386520076076,3.1554436208840472e-30,12.388535774608052,0.3340152697656284,10.082902658639245,32.69006392467814,20.77982104891711
4,cross-homeo-pre-outer-homeo,0.05415024120604474,0.02660198438743082,0.14834719623681666,0.07193357703729417,0.0718257679450615,0.02412813803294904,48.32387803787107,19.39173731623739,0.029213666850017687,0.015071954551674127,0.08230447465460954,0.04244992191788065,0.0,0.7044823953405184,0.06213178752638768,2.6642002770525863,7.998732522651897,3.647640772562945,0.0,6.152810682518539,0.6090771733181363,10.031967606159093,40.47978474382214,15.745266702926203
5,cross-homeo-pre-outer-homeo,0.08312894100721072,0.03912307140107901,0.21985172898245534,0.09807467347696111,0.13000466969194946,0.05947494710541739,1190.9940285211158,106.2002423314532,0.054411618913932244,0.022847134361912828,0.16522466692562157,0.06705128477063879,0.0,686.2465722567215,0.5182771494152918,2.298803878736214,717.3394069925405,19.347981319102686,0.0,419.80306676526817,4.247206665202878,8.274814854280995,839.6519535424562,86.86812957029454
6,cross-homeo-pre-outer-homeo,0.06048356029187312,0.030529548237514425,0.11816676265140903,0.06319215474270982,0.20233689613648148,0.024863265564798166,98.8975488612624,36.830887990796064,0.021196792170034343,0.010258118580048757,0.06041171817910008,0.029311789775842853,0.0,6.41033673223327,0.03505887824112411,5.163500985667855,12.227666513119,7.372418210017285,3.1554436208840472e-30,58.0429996520401,0.2763700263558315,16.014918216207576,86.72585568161168,29.47722214072896
7,cross-homeo-pre-outer-homeo,0.029935299351268475,0.015799339701269902,0.06778374090594126,0.03814509156562057,0.0777651536141854,0.015762557767740888,39.69524186506129,23.402221115681517,0.016688776299543392,0.008864740236595081,0.046960692593225835,0.024790944305726575,7.888609052210118e-31,1.935062172750846,0.01782432694769029,2.949710959560978,5.982554556611303,4.270192076965582,3.1554436208840472e-30,15.008815929068646,0.1751236311104458,10.523735947573122,33.88668237970545,19.14655270887976
8,cross-homeo-pre-outer-homeo,0.04239646828034563,0.021495567649879237,0.1224278173276358,0.06155851174715129,0.03322605001924176,0.014145597684616188,38.10470681371976,13.627857794966237,0.01748911582246961,0.009871866996216665,0.04901137031484641,0.02762662036776307,0.0,1.347555945705577,0.015694673224211416,1.96501946366782,7.471958513268036,2.4094524072641836,0.0,10.763058279385035,0.1872089267035015,8.095583142415684,44.70127438134147,11.218657524664048
